quintil,t,SPX_ret,SPX_cumret,CMC200_ret,CMC200_cumret
4,6,0.003937,-0.031456,0.005675,-0.092602
4,7,0.004189,-0.027399,0.006059,-0.087104
4,8,-0.030964,-0.057515,-0.082066,-0.162022
4,9,0.015631,-0.042783,0.026803,-0.139562
4,10,0.044937,0.000231,0.105995,-0.048360
4,11,-0.032057,-0.031833,-0.082747,-0.127105
4,12,0.044502,0.011252,0.104761,-0.035659
4,13,-0.008683,0.002471,-0.017089,-0.052138
4,14,-0.033356,-0.030967,-0.080222,-0.128178
4,15,0.044659,0.012309,0.104846,-0.036771
4,16,-0.031828,-0.019911,-0.081103,-0.114892
4,17,0.002782,-0.017185,0.004986,-0.110479
4,18,-0.030775,-0.047431,-0.080631,-0.182202
4,19,-0.029159,-0.075207,-0.080070,-0.247683
4,20,0.044133,-0.034393,0.108391,-0.166138
4,21,0.043624,0.007730,0.106180,-0.077599
4,22,-0.008874,-0.001212,-0.015891,-0.092256
4,23,0.003136,0.001920,0.004068,-0.088563
4,24,0.044779,0.046785,0.103072,0.005381
4,25,0.043950,0.092792,0.102392,0.108323
4,26,-0.037304,0.052027,-0.080470,0.019137
4,27,-0.035845,0.014317,-0.078035,-0.060391
4,28,0.002752,0.017109,0.002330,-0.058202
4,29,0.015208,0.032577,0.027125,-0.032656
4,30,-0.006250,0.026124,-0.015116,-0.047278
4,31,0.004130,0.030362,0.005429,-0.042106
4,32,0.016442,0.047304,0.028248,-0.015047
4,33,-0.007097,0.039871,-0.016657,-0.031454
4,34,-0.006843,0.032756,-0.016774,-0.047700
4,35,0.045545,0.079793,0.104857,0.052155
4,36,-0.033019,0.044139,-0.081896,-0.034012
4,37,-0.007157,0.036667,-0.016221,-0.049681
4,38,0.045078,0.083398,0.104882,0.049990
4,39,0.017686,0.102559,0.031033,0.082575
4,40,0.018411,0.122858,0.031970,0.117185
4,41,0.018645,0.143794,0.032451,0.153439
4,42,-0.036250,0.102331,-0.079963,0.061206
4,43,-0.033848,0.065020,-0.078363,-0.021953
4,44,-0.005561,0.059097,-0.014556,-0.036190
4,45,0.014427,0.074376,0.025619,-0.011498
4,46,0.044700,0.122401,0.105607,0.092895
4,47,0.003828,0.126697,0.004899,0.098249
4,48,-0.008344,0.117296,-0.018290,0.078162
4,49,-0.007618,0.108785,-0.018448,0.058272
4,50,0.004011,0.113233,0.003818,0.062312
4,51,0.004235,0.117948,0.004185,0.066758
4,52,0.045246,0.168531,0.104349,0.178073
4,53,-0.033620,0.129245,-0.081823,0.081680
